"Addressor", "Addressee", "Count"
"Достоевский Ф. М.","Каченовскому В. М.",2
"Достоевский Ф. М.","Кашиным А. П. и О. А.",1
"Достоевский Ф. М.","Кашпиреву В. В.",1
"Достоевский Ф. М.","Кехрибарджи П. Е.",1
"Достоевский Ф. М.","Кишенскому Д. Д.",1
"Достоевский Ф. М.","Ковалевскому Е. П.",4
"Достоевский Ф. М.","Ковнеру А. Г.",1
"Достоевский Ф. М.","Козлову П. А.",1
"Достоевский Ф. М.","Командиру Сибирского линейного № 7 батальона, г-ну подполковнику и кавалеру Велихову",1
"Достоевский Ф. М.","Комаровской А. Е.",2
"Достоевский Ф. М.","Кони А. Ф.",1
"Достоевский Ф. М.","Констант В. Д.",8
"Достоевский Ф. М.","Константу Д. С.",3
"Достоевский Ф. М.","Корвин-Круковской А. В.",3
"Достоевский Ф. М.","Корниловой Е. П.",1
"Достоевский Ф. М.","Краевскому А. А.",5
"Достоевский Ф. М.","Куманиным А. А. и А. Ф.",2
"Достоевский Ф. М.","Курносовой А. Н.",1
"Достоевский Ф. М.","Лаврову В. М.",1
"Достоевский Ф. М.","Ламанскому В. И.",1
"Достоевский Ф. М.","Лебедевой Е. Н.",1
"Достоевский Ф. М.","Леонову Л. А.",1
"Достоевский Ф. М.","Ливчаку И. Н.",1
"Достоевский Ф. М.","Лободе С. М.",1
"Достоевский Ф. М.","Лонгинову М. Н.",1
"Достоевский Ф. М.","Лоренцу В. В.",2
"Достоевский Ф. М.","Лурье С. Е.",3
"Достоевский Ф. М.","Любимову И. А.",1
"Достоевский Ф. М.","Любимову Н. А.",35
"Достоевский Ф. М.","Майковой Е. П.",1
"Достоевский Ф. М.","Майкову А. Н.",40
"Достоевский Ф. М.","Маслянникову К. И.",2
"Достоевский Ф. М.","Мещерскому В. П.",4
"Достоевский Ф. М.","Миллеру О. Ф.",2
"Достоевский Ф. М.","Милюкову А. П.",5
"Достоевский Ф. М.","Милюковым Л. А. и О. А.",1
"Достоевский Ф. М.","Михайлову В. В.",1
"Достоевский Ф. М.","Московской городской думе",1
"Достоевский Ф. М.","Мюллеру Ю. А.",1
"Достоевский Ф. М.","Набросок прошения о взыскании денег с издателя Ф. Т. Стелловского",1
"Достоевский Ф. М.","Надеину М. П.",1
"Достоевский Ф. М.","Налимову А. П.",1
"Достоевский Ф. М.","Начальнику III отделения Е. И. В. канцелярии В. А. Долгорукову",2
"Достоевский Ф. М.","Начальнику офицерских отделений Главного инженерного училища г-ну капитану Гартонгу",2
"Достоевский Ф. М.","Некрасову Н. А.",4
"Достоевский Ф. М.","Неустановленному лицу",4
"Достоевский Ф. М.","Неустановленному лицу (Марии Ивановне)",1
"Достоевский Ф. М.","Неустановленному лицу (Николаю Александровичу)",1
"Достоевский Ф. М.","Неустановленному лицу (Сусанне)",1
"Достоевский Ф. М.","Нечаевой О. Я.",1
"Достоевский Ф. М.","Новиковой О. А.",2
"Достоевский Ф. М.","Оболенской В. Д.",1
"Достоевский Ф. М.","Ожигиной Л. А.",2
"Достоевский Ф. М.","Озмидову Н. Л.",2
"Достоевский Ф. М.","Островскому А. Н.",6
"Достоевский Ф. М.","Пантелееву Г. Ф.",1
"Достоевский Ф. М.","Петерсону Н. П.",1
"Достоевский Ф. М.","Писемскому А. Ф.",1
"Достоевский Ф. М.","Плещееву А. Н.",3
"Достоевский Ф. М.","Победоносцеву К. П.",8
"Достоевский Ф. М.","Погодину М. П.",3
"Достоевский Ф. М.","Поливановой М. А.",2
"Достоевский Ф. М.","Полонскому Я. П.",6
"Достоевский Ф. М.","Полякову Б. Б.",1
"Достоевский Ф. М.","Порецкому А. У.",9
"Достоевский Ф. М.","Потоцкому П. П.",1
"Достоевский Ф. М.","Председателю С. -Петербургского цензурного комитета Н. В. Медему",1
"Достоевский Ф. М.","Председателю комитета, избранного обществом литераторов для издания сборника 'Складчина'",1
"Достоевский Ф. М.","Проект заявления",1
"Достоевский Ф. М.","Прошение в Главное управление по делам печати",2
"Достоевский Ф. М.","Прошение мировому судье",1
"Достоевский Ф. М.","Путяте А. Д.",1
"Достоевский Ф. М.","Пуцыковичу В. Ф.",13
"Достоевский Ф. М.","Радецкому Ф. Ф.",1
"Достоевский Ф. М.","Реверс",1
"Достоевский Ф. М.","Редакторская подписка",1
"Достоевский Ф. М.","Редактору одного из иностранных журналов",1
"Достоевский Ф. М.","Родевичу М. В.",1
"Достоевский Ф. М.","Романову А. А.",3
"Достоевский Ф. М.","Романову К. К.",2
"Достоевский Ф. М.","Рыкачевым М. А. и Е. А.",1
"Достоевский Ф. М.","С. -Петербургскому военному генерал-губернатору А. А. Суворову",1
"Достоевский Ф. М.","Савельеву А. И.",2
"Достоевский Ф. М.","Самойлову В. В.",1
"Достоевский Ф. М.","Свидетельство М. В. Родевичу",1
"Достоевский Ф. М.","Сниткиной А. Н.",4
"Достоевский Ф. М.","Сниткину И. Г.",1
"Достоевский Ф. М.","Соглашение между наследниками А. Ф. Куманиной",1
"Достоевский Ф. М.","Соловьеву В. С.",5
"Достоевский Ф. М.","Старчевскому А. В.",2
"Достоевский Ф. М.","Страхову Н. Н.",25
"Достоевский Ф. М.","Студентам института инженеров путей сообщения",1
"Достоевский Ф. М.","Студентам московского университета",1
"Достоевский Ф. М.","Суворину А. С.",2
"Достоевский Ф. М.","Сусловой А. П.",3
"Достоевский Ф. М.","Сусловой Н. П.",1
"Достоевский Ф. М.","Тимофеевой В. В.",1
"Достоевский Ф. М.","Толстой А. А.",1
"Достоевский Ф. М.","Толстой С. А.",1
"Достоевский Ф. М.","Тома Ф.",1
"Достоевский Ф. М.","Тотлебену Э. И.",3
"Достоевский Ф. М.","Третьяковой В. Н.",1
"Достоевский Ф. М.","Третьякову П. М.",1
"Достоевский Ф. М.","Тургеневу И. С.",10
"Достоевский Ф. М.","Уманец А. П.",1
"Достоевский Ф. М.","Управляющему III отделением Е. И. В. канцелярии А. Е. Тимашеву",1
"Достоевский Ф. М.","Утину Б. И.",2
"Достоевский Ф. М.","Федорову М. П.",2
"Достоевский Ф. М.","Федорову С. Н.",1
"Достоевский Ф. М.","Филиппову Т. И.",1
"Достоевский Ф. М.","Философовой А. П.",5
"Достоевский Ф. М.","Фонвизиной Н. Д.",1
"Достоевский Ф. М.","Хитрово С. П.",1
"Достоевский Ф. М.","Хотяинцеву А. Ф.",1
"Достоевский Ф. М.","Хохряковой Л. Х.",1
"Достоевский Ф. М.","Чумикову А. А.",2
"Достоевский Ф. М.","Шеру В. Д.",2
"Достоевский Ф. М.","Штакеншнейдер Е. А.",2
"Достоевский Ф. М.","Шуберт А. И.",3
"Достоевский Ф. М.","Шуйской А. П.",1
"Достоевский Ф. М.","Щепкину Н. М.",1
"Достоевский Ф. М.","Энгельгардт С. В.",1
"Достоевский Ф. М.","Юнге Е. Ф.",1
"Достоевский Ф. М.","Юркевичу М. А.",1
"Достоевский Ф. М.","Юрьеву С. А.",4
"Достоевский Ф. М.","Юшкову Н. Ф.",1
"Достоевский Ф. М.","Языкову М. А.",1
"Достоевский Ф. М.","Якоби А. Н.",1
"Достоевский Ф. М.","Якушкину Е. И.",5
"Достоевский Ф. М.","Яновскому С. Д.",5
"Достоевский Ф. М.","Янышеву И. Л.",2
